Model,p_MRR,p_nDCG,d_MRR,d_nDCG,p_MRR_corr,p_nDCG_corr,sig_MRR,sig_nDCG
BM25,0.07961580146011343,0.4444628002168344,0.30496928203412954,0.2231731909794261,0.39807900730056717,1.0,False,False
Hybrid_Title,0.11484960926328613,0.43262594902013973,-0.25515930007013565,-0.11782196398546342,0.45939843705314454,1.0,False,False
Dense,0.1964070269910797,0.4444628002168344,0.22356438354001207,0.20495423315155017,0.5892210809732391,1.0,False,False
Hybrid,0.1964070269910797,0.4444628002168344,0.22356438354001207,0.20495423315155017,0.5892210809732391,1.0,False,False
Hybrid_Meta,0.1964070269910797,0.4444628002168344,0.22356438354001207,0.20047199900641957,0.5892210809732391,1.0,False,False
