Model,p_MRR,p_nDCG,d_MRR,d_nDCG,p_MRR_corr,p_nDCG_corr,sig_MRR,sig_nDCG,setting
BM25,0.07961580146011343,0.4444628002168344,0.30496928203412954,0.2231731909794261,0.39807900730056717,1.0,False,False,no_ce
Hybrid_Title,0.11484960926328613,0.43262594902013973,-0.25515930007013565,-0.11782196398546342,0.45939843705314454,1.0,False,False,no_ce
Dense,0.1964070269910797,0.4444628002168344,0.22356438354001207,0.20495423315155017,0.5892210809732391,1.0,False,False,no_ce
Hybrid,0.1964070269910797,0.4444628002168344,0.22356438354001207,0.20495423315155017,0.5892210809732391,1.0,False,False,no_ce
Hybrid_Meta,0.1964070269910797,0.4444628002168344,0.22356438354001207,0.20047199900641957,0.5892210809732391,1.0,False,False,no_ce
Hybrid_Meta_Title_Cross,1.0,0.9527650219907529,0.04913413362030178,0.053611470230247274,1.0,1.0,False,False,with_ce
Hybrid_Meta_Title_Expansion_Cross,0.7150006546880893,0.9527650219907529,0.09446769160396874,0.02860181811857136,1.0,1.0,False,False,with_ce
Hybrid,0.4118192805042521,0.32804527190486277,0.15289684355592886,0.15972646952977584,1.0,1.0,False,False,with_ce
BM25,0.27003976198447677,0.2802868257947019,0.20282036200859568,0.16980629384839493,1.0,1.0,False,False,with_ce
