Model,p_MRR,p_nDCG,d_MRR,d_nDCG,p_MRR_corr,p_nDCG_corr,sig_MRR,sig_nDCG
Hybrid_Meta_Title_Cross,1.0,0.9527650219907529,0.04913413362030178,0.053611470230247274,1.0,1.0,False,False
Hybrid_Meta_Title_Expansion_Cross,0.7150006546880893,0.9527650219907529,0.09446769160396874,0.02860181811857136,1.0,1.0,False,False
Hybrid,0.4118192805042521,0.32804527190486277,0.15289684355592886,0.15972646952977584,1.0,1.0,False,False
BM25,0.27003976198447677,0.2802868257947019,0.20282036200859568,0.16980629384839493,1.0,1.0,False,False
