,MRR,MRR,MRR,MRR,nDCG,nDCG,nDCG,nDCG,Recall,Recall,Recall,Recall
Model,BM25,CE_Full,Dense,Hybrid,BM25,CE_Full,Dense,Hybrid,BM25,CE_Full,Dense,Hybrid
Type,,,,,,,,,,,,
default,0.8,0.75,0.9,0.9333333333333333,0.7470365282785958,0.6746238325439052,0.8101662187744987,0.8047023505588203,0.0185,0.016499999999999997,0.02,0.0195
informational,0.9615384615384616,0.9070512820512822,0.9615384615384616,0.9615384615384616,0.9000941295343898,0.7878324813661922,0.9000941295343898,0.829639503301115,0.02274728990712546,0.01944902364494167,0.02274728990712546,0.02040354339219067
process_query,1.0,0.875,1.0,1.0,0.8771850769776061,0.8168061405473396,0.8771850769776061,0.8771850769776061,0.02135416666666667,0.02015625,0.02135416666666667,0.02135416666666667
